store	itemCode	description	dailyUsage	buildTo	stockOnHand	stockOnOrder	orderQty	unit	onHandSource	buildToSource
3806	38358	TB MEXICAN RICE (FINISHED PRODUCT)	8593.4286	85934.2857	0	0	85935	GRAM-1GM	missing	default
3806	38360	TB GUACAMOLE (FINISHED PRODUCT)	3371.6143	33716.1429	0	0	33717	GRAM-1GM	missing	default
3806	38377	TB TOMATO DICED (FINISHED PRODUCT)	2228	15596	0	0	15596	GRAM-1GM	missing	default
3806	38372	TB TACO SHELLS (FINISHED PRODUCT)	231.4286	2314.2857	0	0	2315	EACH	report	default
3806	38295	TB TOSTADA (FINISHED PRODUCT)	118.2857	1182.8571	0	0	1183	EACH	missing	default
3806	40109	FRIES SURECRISP	5.4043	70.2557	3.9167	0	67	CARTON-6x2KG	report	catalog-days
3806	39867A	MEAT CHICKEN COOKED	2.5314	25.3143	0.0035	0	26	CARTON-10X600GM	report	catalog-days
3806	38362	TB FIESTA SALSA (FINISHED PRODUCT)	2.3929	23.9286	0	0	24	KG	missing	default
3806	39520	MEAT BEEF COOKED	1.7286	22.4714	2.4311	7	14	CARTON-8x1.85KG	report	catalog-days
3806	37923	TORTILLA FLOUR 10.25INCH	1.5271	19.8529	1.1667	7	12	CARTON-12x12	report	catalog-days
3806	39009	CHIP NACHO CORN	0.8757	11.3843	3	0	9	CARTON-4.5KG	report	default
3806	37909	SAUCE NACHO CHEESE	0.9014	9.0143	1.1333	0	8	CARTON-6x1.8KG	report	catalog-days
3806	SLETT	LETTUCE SHREDDED	1.12	9.84	2.2	0	8	CARTON-4X2.5KG	report	catalog-days
3806	DTOM4	TOMATO DICED	1.4786	10.35	4.125	0	7	CARTON-4x1KG	report	catalog-days
3806	37925	TORTILLA FLOUR 12INCH	1.1029	14.3371	2.9167	6	6	CARTON-12x12	report	catalog-days
3806	38240	BEANS BLACK COOKED	0.8257	8.2571	2.75	0	6	CARTON-12x1KG	report	catalog-days
3806	10004423	DRINK PEPSI MAX CAN	0.4086	5.3114	0.9	0	5	CARTON-30	report	catalog-days
3806	37928	FLATBREAD	0.6629	6.6286	2.3333	0	5	CARTON-24X6	report	catalog-days
3806	7759	DRINK DARE ICED COFFEE DOUBLE	0.8571	8.5714	4	0	5	EACH	report	catalog-days
3806	37915	RICE LONG GRAIN WHITE	0.5143	5.1429	2	0	4	BAG-10KG	report	catalog-days
3806	40255	CHEESE BLEND MOZZ/CHEDD (PIZZA) SHRED	0.4986	4.9857	1.2833	0	4	CARTON-6x2KG	report	catalog-days
3806	8419	CREAM SOUR LIGHT	1.0871	10.8714	7.48	0	4	EACH-5KG	report	catalog-days
3806	CHOPC	SALAD CORIANDER CHOPPED	0.43	3.01	0.001	0	4	BAG-500GM	report	catalog-days
3806	10006282	DRINK WATER 600ML PET	0.3414	4.4386	1.9583	0	3	CARTON-24	report	catalog-days
3806	3226	DRINK PEPSI MAX 600ML	0.2514	3.2686	1.2083	0	3	CARTON-24	report	catalog-days
3806	37872	CANTINA BROWN BOX	0.2286	2.2857	0.25	0	3	CARTON-200	report	default
3806	37927	TORTILLA FLOUR 6.5INCH	0.3557	4.6243	1.625	0	3	CARTON-24x12	report	catalog-days
3806	40303	CHICKEN CRISPY	0.5586	5.5857	0.775	2	3	CARTON-6x41	report	catalog-days
3806	607826	OIL FRYING LIQUID CARGILL	0.6771	6.7714	4.2	0	3	CARTON-15KG	report	catalog-days
3806	10006826	DRINK LIPTON ICE TEA PEACH	0.1557	2.0243	0.875	0	2	CARTON-24	report	catalog-days
3806	13529	TRAYS DRINKS 4 CUP	0.1371	1.3714	0.0225	0	2	CARTON-100	report	default
3806	36549	NAPKINS BROWN RECYCLE	0.1471	1.4714	0	0	2	CARTON-12x500	report	default
3806	37891	TORTILLA CORN 6 INCH	0.8086	10.5114	5.6667	3	2	CARTON-12x36	report	catalog-days
3806	37989	BAG TAKEAWAY BROWN MEDIUM	0.2871	2.8714	0.001	1	2	CARTON-1000	report	default
3806	38701	LAVA SAUCE	0.1729	1.7286	0.675	0	2	CARTON-10x1KG	report	catalog-days
3806	38892	BIG BELL BOX 2	0.1971	1.9714	0	0	2	CARTON-250	report	default
3806	39054	SEASONING MEXICAN RICE	0.1457	1.4571	0.2	0	2	BAG-10KG	report	catalog-days
3806	TB13735	LID POSTMIX	0.2	2	0.01	0	2	CARTON-1000	report	default
3806	10004724	DRINK PEPSI CAN	0.1429	1.8571	1.6	0	1	CARTON-30	report	catalog-days
3806	10004815	DRINK MOUNTAIN DEW 600ML PET	0.1914	2.4886	1.875	0	1	CARTON-24	report	catalog-days
3806	10005242	DRINK WATER SPARKLING 500ML	0.0229	0.2971	0.0417	0	1	CARTON-24	report	catalog-days
3806	10006573	DRINK SUNKIST ORANGE CAN	0.1386	1.8014	1.625	0	1	CARTON-24	report	catalog-days
3806	10006824	DRINK LIPTON ICE TEA LEMON 500ML	0.0414	0.5386	0.375	0	1	CARTON-24	report	catalog-days
3806	10007191	DRINK MOUNTAIN DEW CAN	0.1957	2.5443	2.4667	0	1	CARTON-30	report	catalog-days
3806	106431	260 x 260mm Baking Paper Golden Silidor	0.0029	0.0286	0	0	1	CARTON-1000	report	default
3806	106491	4OZ PORTION CUP 50EA	0.0371	0.3714	0	0	1	PACK-50	report	default
3806	106551	4OZ PORTION CUP LID 50EA	0.0371	0.3714	0	0	1	PACK-50	report	default
3806	3221	DRINK PEPSI 600ML	0.1443	1.8757	1.8333	0	1	CARTON-24	report	catalog-days
3806	37013	SAUCE PICO DE GALLO 100GM	0.0557	0.5571	0.0002	0	1	CARTON-12x500GM	report	catalog-days
3806	37380	LID FCB DOME 590 ML CH	0.0057	0.0571	0.017	0	1	CARTON-1000	report	default
3806	37597	CHURROS MINI	0.52	5.2	0.4556	4	1	CARTON-72	report	catalog-days
3806	37870	SAUCE CHILLI MILD	0.2243	2.2429	1.55	0	1	CARTON-10x1KG	report	catalog-days
3806	37987	BAG TAKEAWAY BROWN SMALL	0.0743	0.7429	0.6	0	1	CARTON-1000	report	default
3806	37991	BAG TAKEAWAY BROWN LARGE 2	0.2614	2.6143	0.016	2	1	CARTON-250	report	default
3806	37993	BAG CHIPS REGULAR	0.0671	0.6714	0.0057	0	1	CARTON-3000	report	default
3806	37995	BAG CHIPS LARGE	0.0471	0.4714	0.0833	0	1	CARTON-3000	report	default
3806	38088	DESSERT CHOCETTES	0.0943	0.9429	0.6	0	1	CARTON-2x2.5KG	report	catalog-days
3806	39185	STRAW PAPER KFC	0.0514	0.5143	0.0018	0	1	CARTON-4000	report	default
3806	39744	DIPPING CUP 60ML	0.2129	2.1286	1.15	0	1	CARTON-1000	report	default
3806	39746	LID CLEAR 60ML DIPPING CUP	0.2129	2.1286	1.55	0	1	CARTON-1000	report	default
3806	39769	WOODEN FORK	0.0443	0.4429	0.012	0	1	CARTON-1000	report	default
3806	40062A	CINNAMON TWISTS	0.0329	0.3286	0.15	0	1	CARTON-4X5KG	report	catalog-days
3806	DO4	ONION BROWN DICED	0.3614	2.53	2	0	1	CARTON-4x1KG	report	catalog-days
3806	10004425	DRINK SOLO CAN	0.1414	1.8386	2.2667	0	0	CARTON-30	report	catalog-days
3806	10005385	DRINK MOUNTAIN DEW BIB 15L	0.0571	4	30	0	0	CARTON-15L	report	catalog-fixed
3806	10005562	DRINK FCB FREEZE MOUNTAIN DEW 10L	0.0171	1	15	0	0	CARTON-10L	report	catalog-fixed
